annee;trimestre;dernier_jour_du_mois;duree_de_contrat;nature_de_contrat;dpae_brut;dpae_cvs
2011;3;2011-08-31;Contrat de plus d'un mois;CDI;219365;289833
2011;3;2011-09-30;Contrat de plus d'un mois;CDI;433902;291170
2011;4;2011-10-31;Contrat de plus d'un mois;CDI;346417;285654
2011;4;2011-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;227649;336734
2012;1;2012-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;208516;324464
2012;1;2012-02-29;Contrat de plus d'un mois;CDI;233949;265432
2012;1;2012-03-31;Contrat de plus d'un mois;CDI;260724;275618
2012;2;2012-05-31;Contrat de plus d'un mois;CDI;224107;264617
2012;2;2012-06-30;Contrat de plus d'un mois;CDI;238695;262140
2012;3;2012-07-31;Contrat de plus d'un mois;CDI;249797;261343
2012;4;2012-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;349564;329782
2012;4;2012-10-31;Contrat de plus d'un mois;CDI;320306;256582
2013;1;2013-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;198370;323635
2013;2;2013-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;300039;314298
2013;2;2013-04-30;Contrat de plus d'un mois;CDI;255658;251493
2013;2;2013-06-30;Contrat de plus d'un mois;CDI;225243;248707
2013;3;2013-07-31;Contrat de plus d'un mois;CDI;246381;253948
2013;3;2013-08-31;Contrat de plus d'un mois;CDI;185431;250581
2013;4;2013-10-31;Contrat de plus d'un mois;CDI;303288;249547
2013;4;2013-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;271015;331834
2013;4;2013-11-30;Contrat de plus d'un mois;CDI;235963;252017
2014;1;2014-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;303033;324539
2014;1;2014-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;200405;326796
2014;1;2014-03-31;Contrat de plus d'un mois;CDI;242136;252993
2014;3;2014-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;541040;321995
2014;4;2014-10-31;Contrat de plus d'un mois;CDI;289867;243660
2014;4;2014-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;268792;322295
2014;4;2014-11-30;Contrat de plus d'un mois;CDI;231694;245349
2015;1;2015-02-28;Contrat de plus d'un mois;CDI;213237;244128
2015;1;2015-03-31;Contrat de plus d'un mois;CDI;242991;247325
2015;2;2015-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;307008;336991
2015;2;2015-04-30;Contrat de plus d'un mois;CDI;248706;253635
2015;3;2015-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;549164;335715
2015;3;2015-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;251153;340830
2015;3;2015-09-30;Contrat de plus d'un mois;CDI;386302;249621
2015;4;2015-11-30;Contrat de plus d'un mois;CDI;257684;262094
2015;4;2015-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;226188;329583
2016;1;2016-02-29;Contrat de plus d'un mois;CDI;245299;271635
2016;1;2016-03-31;Contrat de plus d'un mois;CDI;255790;268954
2016;2;2016-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;310672;337861
2016;2;2016-06-30;Contrat de plus d'un mois;CDI;250876;270572
2016;4;2016-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;343572;354845
2016;4;2016-10-31;Contrat de plus d'un mois;CDI;332953;281155
2016;4;2016-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;306057;356320
2016;4;2016-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;232401;354385
2016;4;2016-12-31;Contrat de plus d'un mois;CDI;226093;308900
2017;1;2017-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;346007;347780
2017;1;2017-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;223019;358575
2017;1;2017-02-28;Contrat de plus d'un mois;CDI;257132;291558
2017;2;2017-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;323243;364551
2017;2;2017-06-30;Contrat de plus d'un mois;CDI;290330;324559
2017;4;2017-10-31;Contrat de plus d'un mois;CDI;396092;326786
2018;1;2018-01-31;Contrat de plus d'un mois;CDI;426751;332208
2018;1;2018-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;292838;372799
2018;2;2018-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;334501;363180
2018;2;2018-05-31;Contrat de plus d'un mois;CDI;286038;339617
2018;2;2018-06-30;Contrat de plus d'un mois;CDI;311385;341499
2018;3;2018-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;263113;361400
2018;3;2018-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;652435;360422
2018;3;2018-09-30;Contrat de plus d'un mois;CDI;516144;342256
2018;4;2018-10-31;Contrat de plus d'un mois;CDI;429934;350078
2019;2;2019-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;354489;381115
2019;2;2019-04-30;Contrat de plus d'un mois;CDI;354183;357185
2019;3;2019-08-31;Contrat de plus d'un mois;CDI;262046;349772
2019;4;2019-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;344401;354290
2019;4;2019-11-30;Contrat de plus d'un mois;CDI;350096;364869
2020;1;2020-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;233357;370214
2020;2;2020-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;86893;101932
2020;2;2020-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;158498;181576
2020;2;2020-06-30;Contrat de plus d'un mois;CDI;273671;294908
2020;3;2020-08-31;Contrat de plus d'un mois;CDI;262316;341961
2020;3;2020-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;697159;351419
2020;4;2020-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;353238;376505
2020;4;2020-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;181414;278859
2021;1;2021-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;271744;337807
2021;1;2021-03-31;Contrat de plus d'un mois;CDI;313855;309219
2021;2;2021-04-30;Contrat de plus d'un mois;CDI;287546;304225
2021;2;2021-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;360176;400083
2021;2;2021-05-31;Contrat de plus d'un mois;CDI;330428;379913
2021;3;2021-08-31;Contrat de plus d'un mois;CDI;310278;391535
2021;3;2021-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;803186;403769
2021;4;2021-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;390355;413340
2021;4;2021-11-30;Contrat de plus d'un mois;CDI;417782;413605
2021;4;2021-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;253287;395210
2021;4;2021-12-31;Contrat de plus d'un mois;CDI;294885;405324
2022;2;2022-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;377218;403453
2022;2;2022-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;451853;408033
